ID de la réponse;Date de soumission;Dernière page;Date de lancement;Date de la dernière action;Avez-vous été confronté, que ce soit en tant que victime ou témoin, à des contenus haineux ou injurieux sur internet ?;De quelle nature étaient-ils ?  [Raciste];De quelle nature étaient-ils ?  [Antisémite];De quelle nature étaient-ils ?  [Xénophobe];De quelle nature étaient-ils ?  [Sexiste];De quelle nature étaient-ils ?  [LGBTphobe];De quelle nature étaient-ils ?  [En raison de votre religion];De quelle nature étaient-ils ?  [En raison d'un handicap];De quelle nature étaient-ils ?  [Diffamatoire];De quelle nature étaient-ils ?  [Injurieux];De quelle nature étaient-ils ?  [Harcèlement];De quelle nature étaient-ils ?  [Menace];De quelle nature étaient-ils ?  [Autre];Les avez-vous signalés au site qui les hébergeait ?;Si oui, quelle suite a été donnée à votre signalement ?;Si oui, quelle suite a été donnée à votre signalement ? [Autre];Si non, pourquoi ? ;Les avez-vous signalés à la justice ?;Si oui, une réponse judiciaire satisfaisante vous a-t-elle été apportée ?;Si oui, une réponse judiciaire satisfaisante vous a-t-elle été apportée ? [Autre];Si non, pourquoi ? ;Connaissez-vous la plateforme PHAROS, qui permet de signaler à la police et à la gendarmerie certains contenus et comportements illégaux observés sur internet ?;Comment, selon vous, mieux identifier les contenus haineux ou injurieux sur internet et leurs auteurs ?  [Par des dispositifs de signalement accessibles et simples d’usage];Comment, selon vous, mieux identifier les contenus haineux ou injurieux sur internet et leurs auteurs ?  [Par la mise en place par les opérateurs numériques d’outils de détection automatique];Comment, selon vous, mieux identifier les contenus haineux ou injurieux sur internet et leurs auteurs ?  [Par la suppression de l’anonymat sur internet];Comment, selon vous, mieux identifier les contenus haineux ou injurieux sur internet et leurs auteurs ?  [Je ne sais pas];Comment, selon vous, mieux identifier les contenus haineux ou injurieux sur internet et leurs auteurs ?  [Autre];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [Personne, internet doit être un espace libre et non régulé];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [Les opérateurs numériques eux-mêmes];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [Une autorité indépendante (Défenseur des droits, CSA, HADOPI, ARCEP…)];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [Une administration nationale (ministère de l’Intérieur, de l’Économie…)];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [Une autorité ou une administration européenne];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [L’autorité judiciaire];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [Je ne sais pas];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [Autre];Quelles sanctions doivent être prioritairement prononcées contre les auteurs de contenus haineux ou injurieux sur internet ? [Une peine de mise à l’épreuve, de travail d’intérêt général ou de stage];Quelles sanctions doivent être prioritairement prononcées contre les auteurs de contenus haineux ou injurieux sur internet ? [Une peine d’amende];Quelles sanctions doivent être prioritairement prononcées contre les auteurs de contenus haineux ou injurieux sur internet ? [Une peine de prison];Quelles sanctions doivent être prioritairement prononcées contre les auteurs de contenus haineux ou injurieux sur internet ? [L’interdiction temporaire d’accéder à internet ou à un ou plusieurs sites internet];Quelles sanctions doivent être prioritairement prononcées contre les auteurs de contenus haineux ou injurieux sur internet ? [Je ne sais pas];Quelles sanctions doivent être prioritairement prononcées contre les auteurs de contenus haineux ou injurieux sur internet ? [Autre];Quelles sanctions doivent être prioritairement prononcées contre les opérateurs numériques ne respectant pas leurs obligations en matière de lutte contre les contenus haineux ou injurieux sur internet ?    [Une peine de mise à l’épreuve, de travail d’intérêt général ou de stage];Quelles sanctions doivent être prioritairement prononcées contre les opérateurs numériques ne respectant pas leurs obligations en matière de lutte contre les contenus haineux ou injurieux sur internet ?    [Une peine d’amende];Quelles sanctions doivent être prioritairement prononcées contre les opérateurs numériques ne respectant pas leurs obligations en matière de lutte contre les contenus haineux ou injurieux sur internet ?    [Une peine de prison];Quelles sanctions doivent être prioritairement prononcées contre les opérateurs numériques ne respectant pas leurs obligations en matière de lutte contre les contenus haineux ou injurieux sur internet ?    [L’interdiction temporaire d’exercer leur activité];Quelles sanctions doivent être prioritairement prononcées contre les opérateurs numériques ne respectant pas leurs obligations en matière de lutte contre les contenus haineux ou injurieux sur internet ?    [Je ne sais pas];Quelles sanctions doivent être prioritairement prononcées contre les opérateurs numériques ne respectant pas leurs obligations en matière de lutte contre les contenus haineux ou injurieux sur internet ?    [Autre];Vous avez ? ;Vous êtes ...
412;20/04/2019 08:33;3;20/04/2019 08:30;20/04/2019 08:33;Oui, de temps en temps;Oui;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Oui;;Non;;;Vous pensez que cela est inutile;Non;;;Vous ne saviez pas que cela était possible;Non;Oui;Oui;Oui;Non;;Non;Oui;Oui;Non;Non;Non;Non;;Non;Non;Non;Oui;Non;;Non;Oui;Non;Non;Non;;70 ans et plus;Un homme
413;20/04/2019 08:34;3;20/04/2019 08:32;20/04/2019 08:34;Oui, rarement;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Oui;Oui;Non;;Non;Non;Non;Oui;Oui;Non;Non;;Oui;Non;Non;Non;Non;;Non;Oui;Non;Non;Non;;Entre 40 et 59 ans;Une femme
414;20/04/2019 08:49;3;20/04/2019 08:44;20/04/2019 08:49;Oui, souvent;Oui;Non;Non;Oui;Oui;Non;Non;Oui;Oui;Oui;Non;;Oui;Retrait du contenu;;;Non;;;Vous pensez que cela est inutile;Oui;Non;Non;Non;Non;sur la base du signalement uniquement, rien d'automatique, avec un co traitement par la plateforme et les autorités du pays d'origine du signalement et d'origine du diffuseur;Non;Non;Non;Non;Non;Non;Non;Rien de plus que ce qui existe déjà, nos lois sont suffisantes quand elles sont appliquées, simplement en favorisant la collaboration internationale et en systématisant les procédures légales lors des signalements à une plateforme;Oui;Non;Non;Oui;Non;;Non;Non;Non;Non;Non;Les opérateurs n'ont pas à agir comme autorité indépendante, ce n'est pas à eux de lutter contre ce qu'un pays considère comme illégal;Entre 25 et 39 ans;Un homme
415;20/04/2019 09:03;3;20/04/2019 09:01;20/04/2019 09:03;Oui, souvent;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Non;Non;;Oui;Je ne sais pas;;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Oui;Non;Non;;Non;Oui;Oui;Non;Non;Oui;Non;;Non;Oui;Non;Non;Non;;Non;Oui;Non;Non;Non;;Entre 25 et 39 ans;Un homme
416;20/04/2019 09:06;3;20/04/2019 09:03;20/04/2019 09:06;Oui, souvent;Non;Oui;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Oui;Oui;Non;;Non;Oui;Oui;Non;Non;Non;Non;;Oui;Non;Non;Oui;Non;;Non;Non;Non;Oui;Non;;Entre 60 et 69 ans;Un homme
417;;1;20/04/2019 09:03;20/04/2019 09:05;Oui, souvent;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Non;Oui;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;
418;20/04/2019 09:08;3;20/04/2019 09:04;20/04/2019 09:08;Oui, de temps en temps;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Haine des Arméniens;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Oui;Non;Non;;Non;Oui;Oui;Non;Oui;Non;Non;;Non;Oui;Oui;Non;Non;;Non;Oui;Non;Oui;Non;;Entre 40 et 59 ans;Une femme
419;20/04/2019 09:11;3;20/04/2019 09:06;20/04/2019 09:11;Non, jamais;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;Non;Oui;Oui;Non;Non;;Non;Non;Oui;Oui;Non;Oui;Non;;Oui;Non;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Entre 40 et 59 ans;Une femme
420;20/04/2019 09:11;3;20/04/2019 09:08;20/04/2019 09:11;Oui, rarement;Non;Non;Non;Oui;Non;Non;Non;Oui;Oui;Oui;Non;;Non;;;Vous pensez que cela est inutile;Non;;;Vous pensez que cela est inutile;Non;Oui;Non;Oui;Non;;Non;Non;Oui;Non;Non;Oui;Non;;Oui;Oui;Non;Non;Non;;Non;Non;Non;Non;Oui;;Entre 25 et 39 ans;Un homme
421;20/04/2019 09:16;3;20/04/2019 09:13;20/04/2019 09:16;Oui, souvent;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Oui;Non;Non;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Oui;Non;Non;;Non;Oui;Non;Oui;Oui;Non;Non;;Oui;Non;Non;Oui;Non;;Non;Non;Non;Oui;Non;;Entre 60 et 69 ans;Un homme
422;20/04/2019 09:27;3;20/04/2019 09:21;20/04/2019 09:27;Non, jamais;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;Non;Oui;Non;Non;Non;;Oui;Non;Non;Non;Non;Non;Non;;Oui;Non;Non;Non;Non;;Non;Non;Non;Non;Non;Ce n’est pas leur rôle...;Entre 25 et 39 ans;Un homme
423;20/04/2019 09:25;3;20/04/2019 09:23;20/04/2019 09:25;Oui, souvent;Oui;Non;Non;Oui;Non;Non;Non;Oui;Oui;Oui;Oui;;Oui;Retrait du contenu;;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Oui;Oui;Oui;Non;Non;;Non;Oui;Oui;Non;Non;Non;Non;;Oui;Non;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Entre 18 et 24 ans;Un homme
424;20/04/2019 09:45;3;20/04/2019 09:31;20/04/2019 09:45;Oui, souvent;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Nous assistons a tous types de propos et de violences en fonction du type de publication, le champ est donc très large;Oui;Autre;En général, neanmoins certains hebergeurs estiment que les commentaires ou publications n’enfreingnent pas leurs régles alors qu’ils peuvent être violent.;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Non;Oui;Non;D’une part la mise en responsabilité plus accrue des modérateurs des pages internet ou de reseaux sociaux. Il revient en  a ces personnes de controlerer ce qui se dit ou fait sur leur page. Il serait pertinent que les créateurs de page/sites/groupes sachent que cela n’est pas anodin, et que leur responsabilité personnelle peut etre engagée en cas de problème.;Non;Non;Non;Non;Non;Oui;Non;Internet ne doit pas être traité comme un espace extraordinaire, l’Autorité judiciaire doit pouvoir agir comme dans les autres situations;Oui;Non;Non;Non;Non;La réponse doit être proportionnelle est allée de l’action pedagogique obligatoire a la peine de prison en passant par les amendes;Non;Oui;Non;Oui;Non;;Entre 25 et 39 ans;Un homme
425;20/04/2019 09:34;3;20/04/2019 09:32;20/04/2019 09:34;Oui, souvent;Oui;Non;Non;Oui;Non;Non;Non;Non;Oui;Non;Oui;;Non;;;Vous pensez que cela est inutile;Non;;;Vous pensez que cela est inutile;Non;Non;Oui;Oui;Non;;Non;Oui;Non;Oui;Non;Non;Non;;Non;Oui;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Entre 25 et 39 ans;Un homme
426;20/04/2019 09:43;3;20/04/2019 09:39;20/04/2019 09:43;Oui, souvent;Oui;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;;Non;;;Vous pensez que cela est inutile;Non;;;Vous pensez que cela est inutile;Non;Non;Oui;Oui;Non;;Non;Non;Oui;Non;Non;Non;Non;;Oui;Non;Non;Non;Non;;Non;Non;Non;Oui;Non;;Entre 40 et 59 ans;Une femme
427;20/04/2019 09:44;3;20/04/2019 09:40;20/04/2019 09:44;Oui, souvent;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Non;Non;Oui;;Oui;Je ne sais pas;;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Oui;Oui;Non;;Non;Oui;Oui;Non;Non;Non;Non;;Non;Oui;Non;Oui;Non;;Non;Non;Non;Non;Oui;;Entre 40 et 59 ans;Une femme
428;20/04/2019 09:53;3;20/04/2019 09:46;20/04/2019 09:53;Oui, de temps en temps;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;;Oui;Autre;Certains sont supprimés d’autres ne le sont pas, on me propose seulement de bloquer la personne;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Oui;Oui;Non;Oui;Non;Pouvoir signaler un contenu ou un commentaire à Pharos directement sur la plateforme. Le signalement à pharos est compliqué;Non;Non;Oui;Non;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Entre 40 et 59 ans;Une femme
429;20/04/2019 09:54;3;20/04/2019 09:51;20/04/2019 09:54;Oui, souvent;Oui;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Non;Non;Oui;Non;;Non;Oui;Non;Non;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Non;Non;Non;Oui;Non;;Entre 60 et 69 ans;Une femme
430;20/04/2019 09:56;3;20/04/2019 09:53;20/04/2019 09:56;Oui, de temps en temps;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Oui;;Non;;;Vous ne saviez pas que cela était possible;Non;;;Vous ne saviez pas que cela était possible;Non;Non;Oui;Non;Non;;Non;Oui;Oui;Non;Oui;Non;Non;;Oui;Non;Non;Oui;Non;;Oui;Non;Non;Oui;Non;;Entre 60 et 69 ans;Une femme
431;20/04/2019 09:55;3;20/04/2019 09:53;20/04/2019 09:55;Oui, souvent;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Oui;Non;Non;;Oui;Aucune suite donnée au signalement;;;Oui;Je ne sais pas;;;Oui;Oui;Non;Oui;Non;;Non;Oui;Non;Non;Non;Non;Non;;Oui;Non;Non;Non;Non;;Non;Oui;Non;Oui;Non;;Entre 25 et 39 ans;Un homme
432;20/04/2019 10:01;3;20/04/2019 09:58;20/04/2019 10:01;Oui, souvent;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Oui;Non;Oui;;Oui;Aucune suite donnée au signalement;;;Non;;;Vous pensez que cela est inutile;Oui;Oui;Oui;Oui;Non;;Non;Oui;Non;Non;Non;Oui;Non;;Oui;Non;Oui;Non;Non;;Non;Oui;Non;Non;Non;;Entre 40 et 59 ans;Une femme
433;20/04/2019 10:19;3;20/04/2019 10:13;20/04/2019 10:19;Non, jamais;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;Non;Non;Non;Non;Non;Retour à la décentralisation d’internet et éviter la concentration de l’information par les GAFAM;Non;Non;Oui;Non;Non;Non;Non;;Non;Non;Non;Oui;Non;;Non;Oui;Non;Non;Non;;Entre 40 et 59 ans;Un homme
434;20/04/2019 10:18;3;20/04/2019 10:15;20/04/2019 10:18;Oui, souvent;Non;Non;Non;Oui;Non;Non;Non;Oui;Oui;Oui;Oui;;Oui;Aucune suite donnée au signalement;;;Oui;Autre;En cours depuis 3 ans...;;Oui;Non;Non;Non;Non;Par de l'information et de l'éducation;Non;Non;Non;Non;Non;Oui;Non;;Non;Non;Non;Non;Non;C'est à un juge de décider.;Non;Non;Non;Non;Non;C'est à un juge de décider.;Entre 40 et 59 ans;Une femme
435;20/04/2019 10:34;3;20/04/2019 10:31;20/04/2019 10:34;Oui, souvent;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Oui;Oui;Oui;;Oui;Retrait du contenu;;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Non;Oui;Oui;Non;;Non;Non;Non;Non;Non;Oui;Non;;Oui;Non;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Entre 18 et 24 ans;Un homme
436;20/04/2019 10:35;3;20/04/2019 10:31;20/04/2019 10:35;Oui, de temps en temps;Non;Non;Oui;Oui;Non;Non;Non;Oui;Oui;Non;Oui;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Non;Oui;Non;;Non;Non;Non;Non;Non;Oui;Non;;Oui;Non;Non;Oui;Non;;Oui;Non;Non;Oui;Non;;Entre 60 et 69 ans;Une femme
437;20/04/2019 10:35;3;20/04/2019 10:31;20/04/2019 10:35;Non, jamais;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;Non;Oui;Oui;Non;Non;;Non;Non;Oui;Oui;Non;Non;Non;;Non;Oui;Oui;Non;Non;;Non;Oui;Non;Non;Non;;Entre 40 et 59 ans;Un homme
438;20/04/2019 10:40;3;20/04/2019 10:37;20/04/2019 10:40;Oui, rarement;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui;Non;Oui;Négationniste (génocide arménien);Non;;;Vous ne saviez pas que cela était possible;Non;;;Vous ne saviez pas que cela était possible;Non;Oui;Oui;Oui;Non;;Non;Oui;Non;Non;Oui;Oui;Non;;Non;Oui;Oui;Non;Non;;Non;Oui;Non;Oui;Non;;Entre 25 et 39 ans;Un homme
439;20/04/2019 10:54;3;20/04/2019 10:49;20/04/2019 10:54;Oui, souvent;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;;Non;;;Vous ne le souhaitez pas;Non;;;Vous ne le souhaitiez pas;Oui;Non;Oui;Non;Non;;Non;Non;Non;Non;Non;Oui;Non;;Non;Non;Non;Non;Non;Les peines déjà prévues par le code pénal;Non;Non;Non;Non;Non;Aucune peine;Entre 60 et 69 ans;Un homme
440;20/04/2019 10:54;3;20/04/2019 10:50;20/04/2019 10:54;Oui, souvent;Oui;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Oui;;Oui;Aucune suite donnée au signalement;;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Non;Oui;Oui;Non;;Non;Oui;Non;Oui;Non;Oui;Non;;Oui;Non;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;70 ans et plus;Une femme
441;20/04/2019 11:01;3;20/04/2019 10:56;20/04/2019 11:01;Oui, souvent;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;;Non;;;Vous ne le souhaitez pas;Non;;;Vous ne le souhaitiez pas;Oui;Non;Non;Non;Non;Impossible, n'importe qui utilisant un vpn ou tor peut rester anonyme. Cela ne sert à rien d'essayer de faire des lois liberticide.;Oui;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Non;Aucune, internet doit être un espace libre et non régulé;Non;Non;Non;Non;Non;Les seules obligations des opérateurs devraient être de respecter la neutralité du net.;Entre 18 et 24 ans;Un homme
442;;1;20/04/2019 10:59;20/04/2019 10:59;Non, jamais;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;Oui;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;
443;;1;20/04/2019 11:02;20/04/2019 11:04;Oui, de temps en temps;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Les mâle blancs cis het qui me megenre (hélicoptère apache);Non;;;Vous pensez que cela est inutile;Non;;;Vous pensez que cela est inutile;Oui;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;
444;20/04/2019 11:09;3;20/04/2019 11:05;20/04/2019 11:09;Oui, rarement;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Oui;Non;;Non;;;Vous ne le souhaitez pas;Non;;;Vous ne le souhaitiez pas;Oui;Non;Non;Non;Non;Liberté d'expression donc signalement uniquement pour acte grave (menace de meurtre, suicide..etc);Oui;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Non;LIBERTÉ d'expression, aucune peine ne doit être faite pour exprimer ses opinions;Non;Non;Non;Non;Non;Aucune, ils devraient être remercié;Entre 25 et 39 ans;Un homme
445;20/04/2019 11:07;3;20/04/2019 11:05;20/04/2019 11:07;Oui, souvent;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Oui;Oui;;Oui;Retrait du contenu;;;Oui;Je ne sais pas;;;Oui;Oui;Oui;Non;Non;;Non;Oui;Non;Non;Oui;Oui;Non;;Non;Oui;Oui;Non;Non;;Oui;Oui;Non;Non;Non;;Entre 18 et 24 ans;Une femme
446;20/04/2019 11:10;3;20/04/2019 11:07;20/04/2019 11:10;Non, jamais;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;Non;Non;Non;Oui;Non;;Non;Non;Non;Non;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;70 ans et plus;Un homme
447;20/04/2019 11:13;3;20/04/2019 11:10;20/04/2019 11:13;Oui, souvent;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;;Oui;Aucune suite donnée au signalement;;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Oui;Non;Non;;Non;Non;Non;Non;Oui;Non;Non;;Non;Oui;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Entre 40 et 59 ans;Une femme
448;20/04/2019 11:14;3;20/04/2019 11:12;20/04/2019 11:14;Non, jamais;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;Non;Oui;Oui;Non;Non;;Non;Non;Non;Non;Non;Oui;Non;;Non;Non;Non;Non;Non;ce qui est déjà prévu par la loi locale;Non;Non;Non;Non;Oui;;Entre 60 et 69 ans;Une femme
449;20/04/2019 11:15;3;20/04/2019 11:12;20/04/2019 11:15;Oui, souvent;Oui;Non;Non;Oui;Non;Non;Non;Oui;Oui;Non;Non;;Oui;Aucune suite donnée au signalement;;;Non;;;Vous ne saviez pas que cela était possible;Non;Oui;Oui;Non;Non;;Non;Oui;Oui;Non;Non;Oui;Non;;Non;Non;Non;Non;Oui;;Non;Oui;Non;Oui;Non;;Entre 18 et 24 ans;Un homme
450;20/04/2019 11:16;3;20/04/2019 11:13;20/04/2019 11:16;Oui, souvent;Oui;Non;Non;Oui;Non;Non;Non;Oui;Oui;Non;Oui;;Oui;Retrait du contenu;;;Oui;Je ne sais pas;;;Oui;Oui;Non;Non;Non;;Oui;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Non;Aucune sanction, liberté d'expression tant qu'il n'y a pas d'appel à la violence;Non;Non;Non;Non;Non;Aucune;Entre 25 et 39 ans;Un homme
451;20/04/2019 11:22;3;20/04/2019 11:20;20/04/2019 11:22;Oui, souvent;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Oui;;Oui;Je ne sais pas;;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Oui;Non;Oui;Oui;Non;;Non;Non;Oui;Non;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Non;Non;Non;Oui;Non;;Entre 25 et 39 ans;Une femme
452;20/04/2019 11:25;3;20/04/2019 11:22;20/04/2019 11:25;Oui, de temps en temps;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;;Non;;;Vous ne le souhaitez pas;Non;;;Vous ne le souhaitiez pas;Non;Oui;Non;Non;Non;;Oui;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Non;Aucune;Non;Non;Non;Non;Non;Aucune;Entre 18 et 24 ans;Un homme
453;20/04/2019 11:29;3;20/04/2019 11:27;20/04/2019 11:29;Oui, de temps en temps;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;;Oui;Je ne sais pas;;;Non;;;Vous ne saviez pas que cela était possible;Non;Non;Non;Oui;Non;;Non;Oui;Non;Non;Non;Non;Non;;Oui;Non;Non;Non;Non;;Non;Non;Non;Oui;Non;;70 ans et plus;Une femme
454;20/04/2019 11:34;3;20/04/2019 11:31;20/04/2019 11:34;Oui, souvent;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;;Non;;;Vous pensez que cela est inutile;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Non;Oui;Non;;Non;Oui;Non;Non;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Non;Oui;Non;Non;Non;;Entre 18 et 24 ans;Une femme
455;20/04/2019 11:40;3;20/04/2019 11:38;20/04/2019 11:40;Non, jamais;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;Non;Oui;Oui;Oui;Non;;Non;Non;Oui;Non;Oui;Non;Non;;Non;Oui;Non;Oui;Non;;Non;Oui;Non;Non;Non;;70 ans et plus;Une femme
456;20/04/2019 11:43;3;20/04/2019 11:39;20/04/2019 11:43;Oui, souvent;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Non;Non;;Oui;Retrait du contenu;;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Non;Non;Non;;Non;Non;Non;Non;Non;Oui;Non;Les usagers;Non;Non;Non;Non;Non;Les mêmes peines que pour des déclarations publiques équivalentes.;Non;Oui;Non;Oui;Non;;Entre 25 et 39 ans;Un homme
457;20/04/2019 11:45;3;20/04/2019 11:40;20/04/2019 11:45;Oui, souvent;Oui;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Non;fake news;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;;;Vous ne saviez pas que cela était possible;Non;Oui;Non;Oui;Non;;Non;Oui;Oui;Non;Oui;Non;Non;;Oui;Non;Non;Oui;Non;;Non;Non;Non;Non;Oui;;Entre 60 et 69 ans;Une femme
458;20/04/2019 11:49;3;20/04/2019 11:45;20/04/2019 11:49;Oui, souvent;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Non;Non;Non;;Oui;Autre;Parfois retrait mais le plus souvent pas de suite;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Non;Oui;Non;;Non;Non;Oui;Non;Oui;Non;Non;;Oui;Non;Oui;Non;Non;;Non;Non;Non;Oui;Non;;70 ans et plus;Une femme
459;20/04/2019 11:48;3;20/04/2019 11:46;20/04/2019 11:48;Oui, souvent;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;;Non;;;Vous pensez que cela est inutile;Non;;;Vous pensez que cela est inutile;Oui;Oui;Non;Non;Non;;Oui;Non;Oui;Non;Non;Non;Non;;Oui;Non;Non;Non;Non;;Non;Oui;Non;Non;Non;;Entre 18 et 24 ans;Un homme
460;20/04/2019 11:49;3;20/04/2019 11:47;20/04/2019 11:49;Oui, souvent;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;;Oui;Retrait du contenu;;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Oui;Oui;Oui;Oui;Non;;Non;Non;Non;Oui;Oui;Oui;Non;;Oui;Non;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Entre 25 et 39 ans;Un homme
